asd,asd,19,90987659,100019051,12345,500000
aditya kumar giri,bbs,20,416527093,100019289,123456,500000
giri,bbs,18,78,100019678,5,50
Abhimanyu Singh,ikjsjsdas,19,1385642620,100014102,hello12,7500
Abhimanyu Singh ,jhsadaskdhf,92,1167128545,100007085,123456,72000
Himanshu Jain,RHR IIT BBS,19,394597645,100010564,qwerty,50000
Himanshu Jain,KBJ Odisha,19,394597645,100011393,qwerty,2500

Abhimanyu Singh,sbjhabasdk d,53,9988776655,100000198,pikachu,7200
Hola Prasad,Sarojini Nagar,40,8984532237,100005416,baharsebhola,200000
Hola Prasad,Sarojini Nagar,40,8984532237,100006373,baharsebhola,50000
